Subject,Group,Block,Trial,Emotion,SameDiff,Gender,ACC,RT
11,1,3,37,neg,diff,female,0,NA
11,1,3,38,neg,diff,female,0,NA
11,1,3,39,neg,same,female,1,645
11,1,3,40,neg,same,female,0,NA
11,1,3,41,pos,diff,female,0,NA
11,1,3,42,neu,diff,female,1,1388
11,1,3,43,neu,diff,female,0,NA
11,1,3,44,neg,diff,female,1,1252
11,1,3,45,neu,same,female,0,NA
11,1,3,46,pos,diff,female,1,671
11,1,3,47,neg,diff,female,1,1086
11,1,3,48,neg,diff,female,1,1199
11,1,3,49,neu,diff,female,1,1144
11,1,3,50,neg,same,female,1,1255
11,1,3,51,neu,same,female,0,NA
11,1,3,52,neg,same,female,0,NA
11,1,3,53,pos,diff,female,1,1355
11,1,3,54,neu,diff,female,0,NA
11,1,3,55,neu,diff,female,1,665
11,1,4,1,neg,diff,female,0,NA
11,1,4,2,neu,diff,female,0,NA
11,1,4,3,pos,diff,female,1,1023
11,1,4,4,neg,diff,female,1,1491
11,1,4,5,pos,same,female,1,839
11,1,4,6,pos,diff,female,1,856
11,1,4,7,pos,same,female,1,604
11,1,4,8,pos,same,female,1,702
11,1,4,9,pos,same,female,1,641
11,1,4,10,pos,same,female,1,523
11,1,4,11,pos,same,female,1,444
11,1,4,12,neg,diff,female,1,653
11,1,4,13,pos,same,female,1,985
11,1,4,14,neg,same,female,0,728
11,1,4,15,neu,diff,female,1,913
11,1,4,16,neg,same,female,1,479
11,1,4,17,neu,same,female,1,1177
11,1,4,18,neu,diff,female,1,669
11,1,4,19,neg,diff,female,1,923
11,1,4,20,neu,same,female,1,861
11,1,4,21,pos,diff,female,1,1201
11,1,4,22,neu,same,female,1,730
11,1,4,23,neu,diff,female,1,1075
11,1,4,24,neg,diff,female,1,1138
11,1,4,25,neg,diff,female,1,958
11,1,4,26,neg,same,female,1,423
11,1,4,27,neu,diff,female,1,1043
11,1,4,28,pos,diff,female,1,748
11,1,4,29,neg,diff,female,1,1339
11,1,4,30,pos,same,female,1,847
11,1,4,31,pos,diff,female,1,1377
11,1,4,32,neg,diff,female,1,1165
11,1,4,33,neg,diff,female,1,685
11,1,4,34,pos,diff,female,1,894
11,1,4,35,pos,diff,female,1,1242
11,1,4,36,neg,diff,female,1,732
11,1,4,37,pos,same,female,1,1208
11,1,4,38,neu,diff,female,1,801
11,1,4,39,pos,same,female,1,1386
11,1,4,40,pos,diff,female,1,1001
11,1,4,41,pos,same,female,1,1195
11,1,4,42,neg,diff,female,1,705
11,1,4,43,neu,diff,female,1,808
11,1,4,44,pos,diff,female,1,769
11,1,4,45,neu,same,female,1,1426
11,1,4,46,neu,diff,female,0,NA
11,1,4,47,neu,same,female,0,NA
11,1,4,48,pos,diff,female,1,599
11,1,4,49,neg,diff,female,1,713
11,1,4,50,neg,diff,female,1,815
11,1,4,51,pos,diff,female,1,587
11,1,4,52,neg,same,female,1,1002
11,1,4,53,neg,diff,female,1,795
11,1,4,54,neg,same,female,1,834
11,1,4,55,pos,diff,female,1,560
11,1,5,1,neg,diff,male,0,NA
11,1,5,2,neu,diff,male,0,NA
11,1,5,3,neu,diff,male,1,630
11,1,5,4,neg,diff,male,1,493
11,1,5,5,neu,same,male,1,905
11,1,5,6,neg,same,male,1,1303
11,1,5,7,neg,diff,male,1,900
11,1,5,8,neu,diff,male,1,1264
11,1,5,9,neu,diff,male,1,788
11,1,5,10,neg,diff,male,1,1178
11,1,5,11,neu,same,male,1,1150
11,1,5,12,neg,same,male,1,781
11,1,5,13,neu,same,male,1,1281
11,1,5,14,neg,same,male,0,1051
11,1,5,15,neu,same,male,1,1204
11,1,5,16,pos,diff,male,1,989
11,1,5,17,neg,diff,male,1,1436
11,1,5,18,pos,same,male,0,NA
11,1,5,19,neu,diff,male,0,NA
11,1,5,20,neu,diff,male,1,1079
11,1,5,21,neg,diff,male,1,888
11,1,5,22,pos,diff,male,1,1025
11,1,5,23,neu,diff,male,1,872
11,1,5,24,pos,same,male,1,879
11,1,5,25,pos,diff,male,1,1112
11,1,5,26,pos,same,male,1,655
11,1,5,27,neg,diff,male,1,667
11,1,5,28,pos,same,male,1,808
11,1,5,29,neu,diff,male,1,706
11,1,5,30,pos,same,male,1,1049
11,1,5,31,neu,same,male,1,1058
11,1,5,32,pos,same,male,1,1086
11,1,5,33,neg,diff,male,0,NA
11,1,5,34,pos,same,male,1,1093
11,1,5,35,neu,diff,male,0,NA
11,1,5,36,pos,same,male,1,848
11,1,5,37,neg,diff,male,1,817
11,1,5,38,pos,same,male,1,941
11,1,5,39,neg,same,male,1,673
11,1,5,40,neu,diff,male,1,592
11,1,5,41,pos,diff,male,1,990
11,1,5,42,neu,same,male,1,989
11,1,5,43,pos,same,male,1,1356
11,1,5,44,neg,diff,male,1,899
11,1,5,45,neu,diff,male,1,1310
11,1,5,46,neu,diff,male,0,NA
11,1,5,47,pos,diff,male,1,1307
11,1,5,48,pos,diff,male,1,1338
11,1,5,49,pos,same,male,1,414
11,1,5,50,pos,same,male,1,842
11,1,5,51,neg,diff,male,1,667
11,1,5,52,pos,same,male,1,1066
11,1,5,53,neg,same,male,1,1433
11,1,5,54,pos,same,male,1,639
11,1,5,55,neg,same,male,0,NA
11,1,6,1,neg,same,female,0,912
11,1,6,2,pos,same,female,0,910
11,1,6,3,neu,diff,female,0,NA
11,1,6,4,pos,same,female,0,NA
11,1,6,5,pos,diff,female,0,NA
11,1,6,6,neu,diff,female,0,NA
11,1,6,7,pos,same,female,1,519
11,1,6,8,neu,same,female,1,1240
11,1,6,9,pos,same,female,1,666
11,1,6,10,neg,diff,female,1,1368
